snapshot_month,active_accounts,churned_accounts,total_mrr,avg_mrr,expansion_revenue,revenue_at_risk,avg_renewal_probability,avg_product_health,avg_rolling_health_3m,avg_usage_frequency,avg_rolling_usage_3m,avg_feature_adoption,avg_days_since_last_login,avg_support_tickets,avg_onboarding_completion,downgrade_rate,monthly_churn_rate,mrr_growth_rate,revenue_at_risk_rate,health_trend_3m,usage_trend_3m,adoption_trend_3m,inactivity_trend_3m,support_trend_3m,mrr_trend_3m
2022-01-01,45,2,69252.25,1538.9388888888889,154.37,388.63,98.87755555555555,0.5363555555555556,0.5363555555555556,14.352222222222222,14.352222222222222,58.87682926829268,16.622222222222224,1.488888888888889,72.88555555555556,0.022222222222222223,0.0444,0.0,0.0056,0.536,14.35,58.88,16.62,1.49,69252.25
2022-02-01,99,5,154189.17,1557.4663636363637,1164.51,2096.2400000000002,98.84232323232322,0.5655757575757575,0.5562525252525253,15.084040404040403,14.83838383838384,61.78456521739131,14.93939393939394,1.2142857142857142,73.17999999999999,0.010101010101010102,0.0505,1.2265,0.0136,0.551,14.72,60.33,15.78,1.35,111720.71
2022-03-01,143,8,186159.02,1301.8113286713285,3343.8,2473.5299999999997,98.61888111888112,0.5660629370629371,0.5539999999999999,15.017272727272726,14.648811188811191,62.59929577464789,13.874125874125873,1.3496503496503496,71.83020979020979,0.06293706293706294,0.0559,0.2073,0.0133,0.556,14.82,61.09,15.15,1.35,136533.48
2022-04-01,182,8,212565.7,1167.9434065934067,873.8199999999999,2819.77,98.62494505494506,0.5789450549450549,0.5685054945054945,15.55664835164835,14.996043956043957,64.6590909090909,14.571428571428571,1.2905027932960893,73.09351648351648,0.038461538461538464,0.044,0.1419,0.0133,0.57,15.22,63.01,14.46,1.28,184304.63
2022-05-01,220,6,296128.85,1346.0402272727272,1342.51,3413.15,98.43131818181818,0.5954,0.5842363636363637,16.16872727272727,15.520727272727273,65.2155140186916,14.177272727272728,1.1643835616438356,74.19327272727273,0.022727272727272728,0.0273,0.3931,0.0115,0.58,15.58,64.16,14.21,1.27,231617.86
2022-06-01,266,11,373289.12,1403.3425563909775,3510.2599999999998,5238.77,98.61097744360903,0.5968684210526316,0.5840225563909774,16.09872180451128,15.60778195488722,65.51749034749034,13.93233082706767,1.3079847908745248,74.31654135338346,0.03759398496240601,0.0414,0.2606,0.014,0.59,15.94,65.13,14.23,1.25,293994.56
2022-07-01,299,14,420576.45,1406.6102006688964,1799.23,4550.25,98.60976588628762,0.5901270903010034,0.5837926421404682,16.217959866220735,15.79695652173913,64.51661016949153,13.959866220735785,1.2508474576271187,74.50354515050168,0.033444816053511704,0.0468,0.1267,0.0108,0.594,16.16,65.08,14.02,1.24,363331.47
2022-08-01,337,9,486392.59,1443.3014540059348,1928.5,6839.22,98.29913946587537,0.5860326409495549,0.5817121661721069,16.013026706231454,15.693382789317507,64.65460606060606,16.81305637982196,1.1791044776119404,74.74620178041543,0.050445103857566766,0.0267,0.1565,0.0141,0.591,16.11,64.9,14.9,1.25,426752.72
2022-09-01,379,16,567110.28,1496.3331926121373,5570.53,7039.13,98.39981530343007,0.5835883905013193,0.5774986807387863,16.03593667546174,15.619076517150397,63.920813008130075,15.195250659630608,1.2849462365591398,74.73957783641161,0.044854881266490766,0.0422,0.166,0.0124,0.587,16.09,64.36,15.32,1.24,491359.77
2022-10-01,406,18,617495.74,1520.9254679802955,4121.43,9068.81,98.44394088669951,0.5903128078817734,0.5804532019704434,16.46487684729064,15.888103448275862,64.04133838383838,14.5935960591133,1.2643391521197007,74.87655172413794,0.04433497536945813,0.0443,0.0888,0.0147,0.587,16.17,64.21,15.53,1.24,556999.54
