variable,monthly_recurring_revenue,seat_count,seats_used_percent,weekly_active_users,feature_adoption_rate,avg_session_minutes,admin_logins_last_30d,onboarding_completion_percent,days_since_last_login,support_tickets_last_90d,nps_score,account_health_score,renewal_probability,expansion_revenue
monthly_recurring_revenue,1.0,0.8474048060527765,0.028150971569389352,0.8071413947464704,0.27793146101981836,0.15493555806346324,0.20722243236797888,0.21561404963994105,-0.04704088381109053,-0.012300081825394936,0.17987274254305843,0.2411615163039921,0.14808718545503444,0.7472585571251689
seat_count,0.8474048060527765,1.0,0.022568740097411194,0.9115148142858724,0.2895836213540947,0.16389987515915896,0.21124922567839546,0.2269241812708223,-0.05178489671042953,-0.007776702430989204,0.1849204125154131,0.24965625943169606,0.15511657518750732,0.6451638830993816
seats_used_percent,0.028150971569389352,0.022568740097411194,1.0,0.19070689479856534,0.29846716235590864,0.16185571691084513,0.22412435084035517,0.26114860119644556,-0.046387860835265624,0.000868044317511503,0.18273294000135254,0.7071454054371207,0.31337036905427856,0.09887828498596314
weekly_active_users,0.8071413947464704,0.9115148142858724,0.19070689479856534,1.0,0.449841142765646,0.24865753105610314,0.335142224481674,0.3631233182376523,-0.07441165530410111,-0.01671747113603546,0.293025735829923,0.46441143509809824,0.25999118549016886,0.6495426015303527
feature_adoption_rate,0.27793146101981836,0.2895836213540947,0.29846716235590864,0.449841142765646,1.0,0.21771445858047866,0.30917600971980314,0.33377385432874984,-0.06377525433215629,-0.02457374781550975,0.28151774702824817,0.79949007411786,0.34702587363294884,0.3014737958074951
avg_session_minutes,0.15493555806346324,0.16389987515915896,0.16185571691084513,0.24865753105610314,0.21771445858047866,1.0,0.17078183437872393,0.21394972333808263,-0.03746550528425213,-0.0039035311041206557,0.1614149555893729,0.26895563767963465,0.1265899069878383,0.1466462140494475
admin_logins_last_30d,0.20722243236797888,0.21124922567839546,0.22412435084035517,0.335142224481674,0.30917600971980314,0.17078183437872393,1.0,0.2533192076756733,-0.04958817100809578,-0.011852464643072666,0.2077838539270082,0.36667100924004825,0.1714237868324956,0.1951762569706262
onboarding_completion_percent,0.21561404963994105,0.2269241812708223,0.26114860119644556,0.3631233182376523,0.33377385432874984,0.21394972333808263,0.2533192076756733,1.0,-0.06611994590686626,-0.19531816813628824,0.28268621146056805,0.6101593943052668,0.4483354174842098,0.2445824323777751
days_since_last_login,-0.04704088381109053,-0.05178489671042953,-0.046387860835265624,-0.07441165530410111,-0.06377525433215629,-0.03746550528425213,-0.04958817100809578,-0.06611994590686626,1.0,-0.001290677579810422,-0.05868348902966291,-0.15189115558555327,-0.091584836137461,-0.03607621676253541
support_tickets_last_90d,-0.012300081825394936,-0.007776702430989204,0.000868044317511503,-0.01671747113603546,-0.02457374781550975,-0.0039035311041206557,-0.011852464643072666,-0.19531816813628824,-0.001290677579810422,1.0,-0.23215231080337306,-0.09258317180412616,-0.06892608239123767,-0.01712930924447357
nps_score,0.17987274254305843,0.1849204125154131,0.18273294000135254,0.293025735829923,0.28151774702824817,0.1614149555893729,0.2077838539270082,0.28268621146056805,-0.05868348902966291,-0.23215231080337306,1.0,0.4083059494781231,0.1951491898515388,0.18394989755450344
account_health_score,0.2411615163039921,0.24965625943169606,0.7071454054371207,0.46441143509809824,0.79949007411786,0.26895563767963465,0.36667100924004825,0.6101593943052668,-0.15189115558555327,-0.09258317180412616,0.4083059494781231,1.0,0.48382857424695636,0.2956117791413848
renewal_probability,0.14808718545503444,0.15511657518750732,0.31337036905427856,0.25999118549016886,0.34702587363294884,0.1265899069878383,0.1714237868324956,0.4483354174842098,-0.091584836137461,-0.06892608239123767,0.1951491898515388,0.48382857424695636,1.0,0.1901494013233024
expansion_revenue,0.7472585571251689,0.6451638830993816,0.09887828498596314,0.6495426015303527,0.3014737958074951,0.1466462140494475,0.1951762569706262,0.2445824323777751,-0.03607621676253541,-0.01712930924447357,0.18394989755450344,0.2956117791413848,0.1901494013233024,1.0
