cohort_month,cohort_age_months,active_accounts,churned_accounts,total_mrr,avg_mrr,avg_health,avg_usage,avg_adoption,avg_days_since_login,avg_support_tickets,avg_renewal_probability,total_revenue_at_risk,starting_accounts,retention_rate,cohort_churn_rate,mrr_per_starting_account,revenue_at_risk_per_starting_account
2022-01-01,0,45,2,69252.25,1538.9388888888889,0.5363555555555556,14.352222222222222,58.87682926829268,16.622222222222224,1.488888888888889,98.87755555555555,388.63,45,1.0,0.0444,1538.94,8.64
2022-01-01,1,43,2,68702.39,1597.73,0.5886511627906977,15.616511627906977,65.93560975609756,13.953488372093023,0.9534883720930233,99.01744186046511,1752.35,45,0.9556,0.0465,1526.72,38.94
2022-01-01,2,41,1,68886.69,1680.1631707317074,0.6141707317073171,16.218780487804878,66.3790243902439,13.707317073170731,1.2682926829268293,98.96853658536585,1344.51,45,0.9111,0.0244,1530.82,29.88
2022-01-01,3,40,0,69085.03,1727.12575,0.62675,17.54275,70.402,11.95,1.263157894736842,98.99825,813.25,45,0.8889,0.0,1535.22,18.07
2022-01-01,4,40,3,67756.48,1693.9119999999998,0.6376000000000001,18.197499999999998,70.1074358974359,13.525,1.2564102564102564,97.99625,1744.79,45,0.8889,0.075,1505.7,38.77
2022-01-01,5,37,1,67668.39,1828.8754054054054,0.6534324324324324,19.388648648648648,70.42216216216215,11.18918918918919,1.1891891891891893,98.30810810810812,771.86,45,0.8222,0.027,1503.74,17.15
2022-01-01,6,36,2,67874.62,1885.406111111111,0.6638611111111111,18.515,73.16638888888889,8.38888888888889,1.3428571428571427,98.35583333333334,1113.04,45,0.8,0.0556,1508.32,24.73
2022-01-01,7,34,2,67798.15000000001,1994.063235294118,0.6560294117647059,18.37235294117647,72.36558823529411,11.0,1.2352941176470589,98.68411764705883,1338.91,45,0.7556,0.0588,1506.63,29.75
2022-01-01,8,32,2,63032.78,1969.774375,0.6515,17.8278125,71.58125,11.125,1.28125,98.3778125,193.24,45,0.7111,0.0625,1400.73,4.29
2022-01-01,9,30,2,63449.45,2114.9816666666666,0.6598,19.096333333333334,71.325,14.266666666666667,1.5,99.24766666666666,169.43,45,0.6667,0.0667,1409.99,3.77
2022-01-01,10,28,0,63455.700000000004,2266.275,0.6568928571428572,18.455714285714286,71.47740740740741,11.107142857142858,1.8888888888888888,98.4425,1640.0900000000001,45,0.6222,0.0,1410.13,36.45
2022-01-01,11,28,1,66071.62,2359.700714285714,0.6702857142857143,19.407857142857143,73.8075,13.357142857142858,0.9259259259259259,98.92178571428572,494.75,45,0.6222,0.0357,1468.26,10.99
2022-01-01,12,27,3,66991.98,2481.184444444444,0.6526296296296296,19.204074074074075,70.66851851851851,11.148148148148149,1.3703703703703705,99.18925925925926,322.66,45,0.6,0.1111,1488.71,7.17
2022-01-01,13,24,0,63284.06,2636.835833333333,0.6519166666666667,18.191666666666666,73.70666666666666,16.875,1.2083333333333333,99.29291666666667,64.35,45,0.5333,0.0,1406.31,1.43
2022-01-01,14,24,1,64337.63,2680.7345833333334,0.6647500000000001,18.75625,73.75541666666666,11.958333333333334,1.1666666666666667,98.81916666666666,58.54,45,0.5333,0.0417,1429.73,1.3
2022-01-01,15,23,1,69372.79,3016.208260869565,0.6653043478260869,18.746521739130436,72.76772727272727,16.565217391304348,1.0,98.25608695652173,772.0300000000001,45,0.5111,0.0435,1541.62,17.16
2022-01-01,16,22,0,69063.61,3139.255,0.6675454545454546,19.315454545454546,70.18545454545455,9.045454545454545,1.1904761904761905,99.05136363636365,671.53,45,0.4889,0.0,1534.75,14.92
2022-01-01,17,22,4,70189.25,3190.4204545454545,0.6409090909090909,18.797727272727272,70.28545454545454,15.409090909090908,1.0454545454545454,98.13045454545454,1321.0100000000002,45,0.4889,0.1818,1559.76,29.36
2022-01-01,18,18,0,39968.15,2220.452777777778,0.6798333333333333,19.299999999999997,71.97222222222223,14.88888888888889,1.3888888888888888,97.49722222222222,300.11,45,0.4,0.0,888.18,6.67
2022-01-01,19,18,0,40816.9,2267.605555555556,0.6831666666666667,18.352777777777778,74.775,10.555555555555555,1.0,97.32944444444445,1377.29,45,0.4,0.0,907.04,30.61
2022-01-01,20,18,1,41101.69,2283.4272222222226,0.6650555555555555,18.612777777777776,72.33888888888889,11.722222222222221,1.3333333333333333,97.36,211.08999999999997,45,0.4,0.0556,913.37,4.69
2022-01-01,21,17,1,44275.92,2604.465882352941,0.6438823529411765,17.91470588235294,67.51941176470588,10.705882352941176,1.5294117647058822,97.31117647058824,427.71999999999997,45,0.3778,0.0588,983.91,9.5
2022-01-01,22,16,0,44285.46,2767.84125,0.6819375,18.985,72.51,7.6875,1.3125,97.141875,71.19,45,0.3556,0.0,984.12,1.58
